2024-11-11 23:44:01.264 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is moscow
2024-11-11 23:44:01.264 | INFO     | dialogs.forecast:get_forecast:18 - Fetching weather for city in get_forecast: moscow
2024-11-11 23:44:01.264 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: moscow
2024-11-11 23:49:59.670 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:49:59.929 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-12 17:14:09.138 | SUCCESS  | __main__:on_startup:15 - Бот запущен
2024-11-12 17:14:27.300 | INFO     | dialogs.main:city_handler:16 - City received: moscow
2024-11-12 17:14:27.301 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is moscow
2024-11-12 17:14:27.301 | INFO     | dialogs.forecast:get_forecast:18 - Fetching weather for city in get_forecast: moscow
2024-11-12 17:14:27.301 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: moscow
2024-11-12 17:14:37.295 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is moscow
2024-11-12 17:14:37.296 | INFO     | dialogs.forecast:get_forecast:18 - Fetching weather for city in get_forecast: moscow
2024-11-12 17:14:37.296 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: moscow
2024-11-12 17:14:47.204 | SUCCESS  | __main__:on_shutdown:19 - Бот остановлен
2024-11-12 17:14:47.470 | INFO     | __main__:<module>:45 - Работа программы принудительно завершена
